TreeID,TreeForm,Girth_cm,Stems,HeightGirth_cm,Estimated,Date
26,maiden,215,NULL,NA,NULL,"2007-2015
"
26,maiden,238,1,130,0,"2016-2019
"
27,maiden,144,NULL,NA,NULL,"2007-2015
"
27,maiden,174,1,130,0,"2016-2019
"
28,maiden,206,NULL,NA,NULL,"2007-2015
"
28,maiden,274,1,130,0,"2016-2019
"
29,maiden,171,NULL,NA,NULL,"2007-2015
"
29,maiden,178,1,130,0,"2016-2019
"
30,maiden,161,NULL,NA,NULL,"2007-2015
"
30,maiden,175,1,130,0,"2016-2019
"
31,maiden,194,NULL,NA,NULL,"2007-2015
"
31,maiden,229,1,130,0,"2016-2019
"
32,maiden,88,NULL,NA,NULL,"2007-2015
"
33,maiden,80,NULL,NA,NULL,"2007-2015
"
35,maiden,139,NULL,NA,NULL,"2007-2015
"
36,maiden,146,NULL,NA,NULL,"2007-2015
"
37,maiden,139,NULL,NA,NULL,"2007-2015
"
37,maiden,148,1,130,0,"2016-2019
"
38,maiden,99,NULL,NA,NULL,"2007-2015
"
38,maiden,115,1,130,0,"2016-2019
"
39,maiden,117,NULL,NA,NULL,"2007-2015
"
39,maiden,126,1,130,0,"2016-2019
"
40,maiden,143,NULL,NA,NULL,"2007-2015
"
40,maiden,148,1,130,0,"2016-2019
"
41,maiden,126,NULL,NA,NULL,"2007-2015
"
41,maiden,131,1,130,0,"2016-2019
"
42,maiden,167,NULL,NA,NULL,"2007-2015
"
42,maiden,177,1,130,0,"2016-2019
"
43,maiden,133,NULL,NA,NULL,"2007-2015
"
43,maiden,147,1,130,0,"2016-2019
"
44,maiden,135,NULL,NA,NULL,"2007-2015
"
44,maiden,152,1,130,0,"2016-2019
"
45,maiden,110,NULL,NA,NULL,"2007-2015
"
45,maiden,118,1,130,0,"2016-2019
"
46,maiden,138,NULL,NA,NULL,"2007-2015
"
46,maiden,145,1,130,0,"2016-2019
"
47,maiden,76,NULL,NA,NULL,"2007-2015
"
47,maiden,85,1,130,0,"2016-2019
"
48,maiden,66,NULL,NA,NULL,"2007-2015
"
48,maiden,77,1,130,0,"2016-2019
"
49,maiden,126,NULL,NA,NULL,"2007-2015
"
49,maiden,132,1,130,0,"2016-2019
"
50,maiden,75,NULL,NA,NULL,"2007-2015
"
50,maiden,81,1,130,0,"2016-2019
"
51,maiden,118,NULL,NA,NULL,"2007-2015
"
51,maiden,127,1,130,0,"2016-2019
"
53,maiden,143,NULL,NA,NULL,"2007-2015
"
53,maiden,153,1,130,0,"2016-2019
"
54,maiden,85,NULL,NA,NULL,"2007-2015
"
54,maiden,88,1,130,0,"2016-2019
"
55,multistem,192,NULL,NA,NULL,"2007-2015
"
55,multistem,285,2,130,0,"2016-2019
"
56,maiden,90,NULL,NA,NULL,"2007-2015
"
57,maiden,160,NULL,NA,NULL,"2007-2015
"
58,maiden,199,NULL,NA,NULL,"2007-2015
"
58,maiden,205,1,130,0,"2016-2019
"
59,maiden,90,NULL,NA,NULL,"2007-2015
"
60,maiden,150,NULL,NA,NULL,"2007-2015
"
60,maiden,147,1,130,0,"2016-2019
"
61,maiden,180,NULL,NA,NULL,"2007-2015
"
61,maiden,207,1,130,0,"2016-2019
"
62,maiden,159,1,130,0,"2016-2019
"
63,maiden,97,1,130,0,"2016-2019
"
64,maiden,192,NULL,NA,NULL,"2007-2015
"
64,maiden,173,1,130,0,"2016-2019
"
65,maiden,125,NULL,NA,NULL,"2007-2015
"
65,maiden,140,1,130,0,"2016-2019
"
67,maiden,65,NULL,NA,NULL,"2007-2015
"
69,maiden,400,NULL,NA,NULL,"2007-2015
"
