"group_id","logistic.R2","logistic.AICc","gompertz.R2","gompertz.AICc","quad.R2","quad.AICc","cubic.R2","cubic.AICc","Akaike_weight_logistic","Akaike_weight_gompertz","Akaike_weight_quad","Akaike_weight_cubic","PopBio_units","Temp"
41,0.987668378978738,-21.09721669758,-0.111222664521468,85.7341092621651,0.746003625321613,48.4813072652072,0.924899497913071,23.7631635652598,0.999999999818576,6.33683385530088e-24,7.78422699600543e-16,1.81422938871861e-10,"OD_595",15
42,0.942082318593476,9.2419761434164,0.772106468108676,55.9035737917625,0.608763964784002,70.371202772767,0.707607592361475,63.8785564274992,0.999999999924863,7.37161783716012e-11,5.32055694703443e-14,1.36715368140592e-12,"OD_595",15
43,0.968247404760285,8.73166035073907,0.60154676838356,67.7802638801315,0.880238518790539,37.9372685704753,0.956074438897135,19.2682019922469,0.994873449382175,1.498050667214e-13,4.52741802515588e-07,0.0051260978758727,"OD_595",15
44,0.888218800479883,27.1989617012935,0.23739561314997,76.5117362375601,0.851268700114611,34.0533121797608,0.972167919405155,-2.94146535342607,2.85160453095391e-07,5.58414082197765e-18,9.26159959268895e-09,0.999999705577947,"OD_595",15
45,0.947862668547456,15.1975956172386,0.652615619806834,44.2419178710047,0.846856691865153,28.1275105457915,0.916356177715895,27.1555460547559,0.995927681690614,4.91284837787768e-07,0.001550716654669,0.00252111036987916,"OD_595",25
46,0.982315576133924,-4.7348666259702,0.972211999567648,7.06898624001303,0.937691964896139,16.6750378777425,0.981218613106727,0.409440786492345,0.926674564146598,0.00253368814853471,2.07886147189844e-05,0.0707709590901481,"OD_595",25
47,0.950016111839534,16.6784035899943,0.829830389789765,39.7214942078955,0.933061381316967,21.059533745672,0.962777100688111,16.9234216779213,0.500861144913228,4.96562354058744e-06,0.0560230844977941,0.443110804965437,"OD_595",25
48,0.928433747684746,25.5758372103475,0.540592858162778,58.1322020220806,0.897570966348728,30.9540358757728,0.927375721568026,30.4626386737685,0.865945464082998,7.3784603426004e-08,0.0588341576918631,0.075220304440536,"OD_595",25
49,0.978047369597722,6.31833867118311,0.629633747670991,50.9323700894106,0.840428993863207,34.0887671509187,0.93054758456131,27.4984625424582,0.999973902944582,2.05198809047737e-10,9.32645806061533e-07,2.51642044136136e-05,"OD_595",25
50,0.979659479123247,1.3815761549643,0.798595114286621,40.4387764210315,0.810230548840512,34.8794999795738,0.896611738363081,30.4363893169808,0.99999945277187,3.30245178144181e-09,5.32130345892496e-08,4.90712643349689e-07,"OD_595",25
51,0.962354639525744,6.28126674282677,0.328203170242017,49.3153964246769,0.80181780651532,27.8739684946905,0.91219640017363,22.8623014701619,0.99972871445341,4.52001253316406e-10,2.04685253944805e-05,0.000250816569194538,"OD_595",25
52,0.974728736522731,8.22751901459767,0.576611085842008,50.4410499166556,0.770895469516578,36.8861548015248,0.887061510146421,33.2622279638305,0.999995738586025,6.81469437005016e-10,5.98211088256585e-07,3.66252141683021e-06,"OD_595",25
53,0.871108818420021,15.9451565847369,NA,Inf,0.658395955614544,29.5907298778887,0.837078943048771,24.2808739984139,0.983696154702768,0,0.00107093319894613,0.0152329120982861,"OD_595",25
54,0.868141796048443,26.5509674189572,0.191895365261363,58.4121003234848,0.635878975287183,41.7873548959381,0.772457083745103,39.4018100470304,0.997893048643533,1.2037239276149e-07,0.000490393262318419,0.00161643772175627,"OD_595",25
55,0.961999577179803,-0.811618814882175,0.372188654425664,45.9246842971248,0.781172773181363,25.4486593847421,0.880393290715753,21.0542226186702,0.999980155344832,7.10120595243038e-11,1.98446947874195e-06,1.78601146774219e-05,"OD_595",25
56,0.99245750943513,-15.941324665426,0.83609228921567,37.6823291251792,0.891903275844127,26.6582590023085,0.960692920872137,14.8359467704028,0.999999792039905,2.26867058069905e-12,5.61846720910963e-10,2.07395979647297e-07,"OD_595",25
57,0.988719335953409,-14.7298704475313,0.994077595976307,-21.5625685831548,0.385750947959442,53.2244055773498,0.564106713203592,51.5145665322498,0.0317884045321735,0.968211595467826,5.57423381387593e-17,1.31060557968895e-16,"OD_595",25
58,0.971969845411001,7.2711619456,0.586757915141693,54.6868415545432,0.643467149270284,47.9614899972853,0.802722957700124,42.8560489751296,0.999999979746891,5.05610385820934e-11,1.4595115002319e-09,1.87430365967117e-08,"OD_595",25
59,0.960498535625826,34.622099015661,0.987659229441419,18.965013317597,0.94889845686726,38.9992071837195,0.949700155514804,42.8516032401889,0.000398026454447221,0.999550863495608,4.46102827554245e-05,6.49976718957649e-06,"OD_595",25
60,0.968097464029758,13.8729925641723,0.534818057061879,63.5498373864751,0.69534785530634,52.2332394749716,0.869875944829283,41.8928516367,0.999999171992209,1.63233708725197e-11,4.67926737344065e-09,8.23312200054443e-07,"OD_595",25
61,0.988424566810522,-6.25630326030072,0.892624446055969,33.7464933498744,0.678055709113351,46.9515926926394,0.832112148840806,40.8979119836235,0.999999997881311,2.05827351058497e-09,2.79287948570244e-12,5.76225216326433e-11,"OD_595",25
62,0.942428187160009,3.64278590026925,0.23709977223323,47.0708651490494,0.6638082273007,30.1125158260437,0.808710693945642,26.3207608559405,0.999986312806498,3.71284198947467e-10,1.78716739901186e-06,1.1899654818422e-05,"OD_595",25
63,0.991247504118584,-7.37319889128081,0.577903077392314,48.5848784446119,0.846331407186231,29.8777731207923,0.937426406871429,23.7692875407563,0.99999981907066,7.06086355111331e-13,8.1480582715751e-09,1.72780575542843e-07,"OD_595",25
64,0.993181551059119,-23.8648295310519,0.988083733828125,-10.2529873920738,0.424778317120383,51.5322696965073,0.606913186442665,49.1811565656272,0.998894024642519,0.00110597535748124,4.23884310627655e-17,1.3733621426975e-16,"OD_595",25
