"","TreeID","Girth_cm","Score"
"1327",637,98,4.21428571428571
"1328",664,98,3.52173913043478
"1329",863,98,3.66666666666667
"1330",930,98,3.36
"1331",1483,98,3.70731707317073
"1332",1573,98,3.82926829268293
"1333",1668,98,3.19047619047619
"1334",1839,98,3.73333333333333
"1335",1880,98,3.47058823529412
"1336",2486,98,3.52941176470588
"1337",2496,98,3.6875
"1338",38,99,3.56521739130435
"1339",359,99,3.48275862068966
"1340",607,99,3.35616438356164
"1341",699,99,4.66666666666667
"1342",720,99,3.48
"1343",804,99,3.34615384615385
"1344",876,99,3.5
"1345",880,99,3.95555555555556
"1346",948,99,4.44444444444444
"1347",978,99,3.46666666666667
"1348",999,99,3.95
"1349",1009,99,3.23809523809524
"1350",1119,99,4
"1351",1789,99,3.52941176470588
"1352",1939,99,3.6875
"1353",2041,99,3.71428571428571
"1354",2093,99,3.93333333333333
"1355",2181,99,3.28571428571429
"1356",2424,99,3.93333333333333
"1357",2603,99,4.33333333333333
"1358",13,100,3.52380952380952
"1359",72,100,3.84
"1360",98,100,4.4
"1361",217,100,3.82608695652174
"1362",272,100,3.38095238095238
"1363",290,100,3.4
"1364",298,100,3.8
"1365",356,100,3.11764705882353
"1366",369,100,3.57142857142857
"1367",550,100,3.33333333333333
"1368",606,100,4.07142857142857
"1369",632,100,4.44444444444444
"1370",683,100,3.7
"1371",840,100,3.78947368421053
"1372",904,100,3.78947368421053
"1373",942,100,4.57575757575758
"1374",983,100,3.88095238095238
"1375",1020,100,3.64912280701754
"1376",1078,100,3.28571428571429
"1377",1346,100,3.65
"1378",1374,100,3.85365853658537
"1379",1421,100,3.74193548387097
"1380",1448,100,3.52941176470588
"1381",1483,100,3.32142857142857
"1382",1556,100,4.14285714285714
"1383",1656,100,3.2
"1384",1680,100,3.74074074074074
"1385",1778,100,3.3125
"1386",1904,100,3.27777777777778
"1387",2014,100,3.7
"1388",2054,100,4.06666666666667
"1389",2233,100,3.33333333333333
"1390",2297,100,3.77777777777778
"1391",2517,100,5
"1392",2806,100,4
"1393",211,101,3.85714285714286
"1394",355,101,3.47761194029851
"1395",461,101,3.4
"1396",588,101,4.44117647058824
"1397",1284,101,3.62962962962963
"1398",1297,101,3.86363636363636
"1399",1820,101,3.76923076923077
"1400",1949,101,3.75
"1401",2125,101,3.8
"1402",2278,101,3.1875
"1403",2432,101,4.6
"1404",359,102,4.875
"1405",653,102,3.65
"1406",663,102,3.5
"1407",733,102,3.63636363636364
"1408",832,102,3.77777777777778
"1409",854,102,4.45238095238095
"1410",1255,102,3.36666666666667
"1411",1309,102,6
"1412",1456,102,3.625
"1413",1530,102,4.375
"1414",1548,102,3.75862068965517
"1415",1704,102,3.5609756097561
"1416",1956,102,3.6
"1417",2171,102,3.58823529411765
"1418",2299,102,3.88888888888889
"1419",2526,102,4.4
"1420",2532,102,4
"1421",2566,102,3.75
"1422",2669,102,4.23529411764706
"1423",108,103,4.625
"1424",225,103,3.5
"1425",251,103,4.36363636363636
"1426",493,103,4
"1427",662,103,4.16949152542373
"1428",790,103,3.56521739130435
"1429",834,103,3.68421052631579
"1430",938,103,3.07142857142857
"1431",1245,103,3.44444444444444
"1432",1339,103,3.42307692307692
"1433",1450,103,3.39024390243902
"1434",1827,103,3.9375
"1435",2192,103,3.5625
"1436",2356,103,3.8
"1437",96,104,3.47727272727273
"1438",121,104,3.72
"1439",289,104,3.35294117647059
"1440",464,104,3.48
"1441",508,104,3.24
"1442",559,104,4.11904761904762
"1443",709,104,3.25
"1444",882,104,3.56521739130435
"1445",1288,104,3.375
"1446",1812,104,3.48
"1447",1945,104,3.85
"1448",2659,104,3.75
"1449",71,105,4.75
"1450",83,105,3.24444444444444
"1451",96,105,4.39024390243902
"1452",400,105,3.4
"1453",470,105,3.45454545454545
"1454",601,105,3.52857142857143
"1455",666,105,3.57142857142857
"1456",1075,105,3.39130434782609
"1457",1084,105,3.58333333333333
"1458",1174,105,3.45454545454545
"1459",1242,105,4.59523809523809
"1460",1333,105,3.21818181818182
"1461",1362,105,3.52380952380952
"1462",1364,105,3.55555555555556
"1463",1394,105,3.20833333333333
"1464",1485,105,3.57894736842105
"1465",1693,105,3.5
"1466",1832,105,3.5
"1467",2177,105,3.41176470588235
"1468",2411,105,3.5
"1469",93,106,3.23809523809524
"1470",334,106,4.63636363636364
"1471",580,106,3.44594594594595
"1472",680,106,3.41666666666667
"1473",777,106,3.6
"1474",1038,106,4.375
"1475",1064,106,3.42857142857143
"1476",1363,106,3.66666666666667
"1477",1371,106,3.54545454545455
"1478",1437,106,4.55
"1479",1722,106,3.71186440677966
"1480",1813,106,3.41176470588235
"1481",2189,106,4
"1482",2330,106,3.52941176470588
"1483",14,107,3.91176470588235
"1484",334,107,3.26086956521739
"1485",342,107,3.23529411764706
"1486",526,107,3.14285714285714
"1487",744,107,3.16666666666667
"1488",776,107,3.375
"1489",801,107,3.57692307692308
"1490",835,107,3.5625
"1491",910,107,3.76190476190476
"1492",1062,107,3.33333333333333
"1493",1197,107,3.27272727272727
"1494",1268,107,5.33333333333333
"1495",1291,107,3.34615384615385
"1496",1323,107,3.33333333333333
"1497",1371,107,3.88888888888889
"1498",1409,107,3.78947368421053
"1499",1454,107,3.89655172413793
"1500",1487,107,3.56521739130435
"1501",1666,107,4.83333333333333
"1502",1802,107,3.27777777777778
"1503",2143,107,3.8125
"1504",2204,107,3.4375
"1505",2298,107,3.68421052631579
"1506",372,108,3.39285714285714
"1507",380,108,3.46428571428571
"1508",593,108,3.55555555555556
"1509",720,108,4.11111111111111
"1510",734,108,3.38461538461538
"1511",736,108,3.5
"1512",1111,108,3.94736842105263
"1513",1220,108,3.35714285714286
"1514",1336,108,3.33333333333333
"1515",1892,108,3.72
"1516",2137,108,3.8125
"1517",2169,108,3.55
"1518",2323,108,3.75
"1519",83,109,3.71794871794872
"1520",87,109,4.07692307692308
"1521",100,109,3.86363636363636
"1522",126,109,3.8695652173913
"1523",146,109,3.42857142857143
"1524",174,109,3.80769230769231
"1525",895,109,3.92307692307692
"1526",915,109,3.8695652173913
"1527",916,109,3.66666666666667
"1528",919,109,3.46153846153846
"1529",967,109,3.76923076923077
"1530",1013,109,4.6
"1531",1108,109,3.32142857142857
"1532",1146,109,4.125
"1533",1196,109,3
"1534",1341,109,3.70588235294118
"1535",1686,109,3.5
"1536",2242,109,3.46153846153846
"1537",2495,109,4
"1538",2534,109,4.13333333333333
"1539",45,110,3.31818181818182
"1540",93,110,3.97435897435897
"1541",100,110,4.11111111111111
"1542",103,110,3.65
"1543",126,110,4.22222222222222
"1544",133,110,4
"1545",311,110,3.61904761904762
"1546",377,110,0
"1547",389,110,3.44444444444444
"1548",637,110,3.609375
"1549",668,110,3.52
"1550",709,110,3.88888888888889
"1551",852,110,3.71428571428571
"1552",901,110,3.58823529411765
"1553",1155,110,3.88235294117647
"1554",1265,110,3.57142857142857
"1555",1300,110,3.17391304347826
"1556",1417,110,3.83333333333333
"1557",1460,110,4.13793103448276
"1558",1559,110,3.42105263157895
"1559",1670,110,3.375
"1560",1716,110,3.47619047619048
"1561",1757,110,3.94736842105263
"1562",1850,110,3.64705882352941
"1563",2033,110,3.51111111111111
"1564",2072,110,3.8
"1565",2224,110,3.4375
"1566",2353,110,3.78571428571429
"1567",2526,110,5
"1568",2594,110,3.84210526315789
"1569",259,111,3.44444444444444
"1570",441,111,4.4
"1571",522,111,3.41666666666667
"1572",583,111,3.55
"1573",742,111,3.46153846153846
"1574",847,111,3.47058823529412
"1575",925,111,3.4
"1576",1102,111,3.84210526315789
"1577",1198,111,3.20833333333333
"1578",1355,111,3.7
"1579",1672,111,3.70833333333333
"1580",1752,111,3.83333333333333
"1581",2078,111,3.375
"1582",2235,111,3.46428571428571
"1583",2245,111,3.76470588235294
"1584",2274,111,3.75
"1585",2292,111,3.5
"1586",2485,111,3.5
"1587",2558,111,4
"1588",133,112,3.67857142857143
"1589",222,112,3.63157894736842
"1590",267,112,3.61111111111111
"1591",332,112,3.56521739130435
"1592",601,112,3.78571428571429
"1593",705,112,3.45
"1594",1019,112,3.28571428571429
"1595",1031,112,4.22222222222222
"1596",1122,112,4.25
"1597",1349,112,3.65384615384615
"1598",1465,112,3.79032258064516
"1599",1596,112,3.64285714285714
"1600",1699,112,3.625
"1601",1919,112,3.19047619047619
"1602",1983,112,3.78947368421053
"1603",2293,112,3.22222222222222
"1604",2451,112,3.625
"1605",99,113,3.84
"1606",122,113,3.875
"1607",261,113,3.68421052631579
"1608",475,113,3.24137931034483
"1609",658,113,3.52
"1610",755,113,3.30769230769231
"1611",859,113,3.25
"1612",995,113,4.9
"1613",1122,113,3.9
"1614",1156,113,3.76470588235294
"1615",1316,113,3.5
"1616",1506,113,3.95348837209302
"1617",1695,113,3.64285714285714
"1618",1790,113,3.30769230769231
"1619",1889,113,3.42307692307692
"1620",1894,113,3
"1621",1947,113,3.36842105263158
"1622",2007,113,4
"1623",2523,113,4.30769230769231
"1624",2828,113,4.5
"1625",136,114,3.59090909090909
"1626",137,114,3.69736842105263
"1627",355,114,4
"1628",454,114,3.5
"1629",467,114,3.38095238095238
"1630",599,114,3.33333333333333
"1631",767,114,4.3
"1632",1057,114,3.88235294117647
"1633",1208,114,4.25
"1634",1333,114,3.95
"1635",1373,114,3.60869565217391
"1636",1520,114,3.55555555555556
"1637",1624,114,4.08
"1638",1795,114,3.4
"1639",2034,114,3.64285714285714
"1640",2052,114,3.48148148148148
"1641",2095,114,3.77777777777778
"1642",2172,114,3.60869565217391
"1643",2173,114,3.875
"1644",2510,114,3.76923076923077
"1645",2648,114,4.125
"1646",19,115,3.51351351351351
"1647",143,115,3.90277777777778
"1648",277,115,2.96
"1649",369,115,4.33333333333333
"1650",551,115,4.47058823529412
"1651",633,115,3.69230769230769
"1652",778,115,3.36
"1653",892,115,3.55555555555556
"1654",895,115,4.46511627906977
"1655",981,115,3.625
"1656",1331,115,3.78947368421053
"1657",1463,115,3.72727272727273
"1658",1514,115,3.875
"1659",1714,115,3.85185185185185
"1660",1722,115,4
"1661",1731,115,3.67647058823529
"1662",1775,115,3.61904761904762
"1663",1801,115,3.47058823529412
"1664",2222,115,3.55555555555556
"1665",2225,115,3.46666666666667
"1666",510,116,3.30434782608696
"1667",780,116,3.43478260869565
"1668",846,116,3.42857142857143
"1669",1135,116,2.83333333333333
"1670",1413,116,3.43478260869565
"1671",1593,116,3.89189189189189
"1672",1594,116,2.47058823529412
"1673",2166,116,3.875
"1674",2433,116,3.92857142857143
"1675",2468,116,3.76470588235294
"1676",2496,116,2
"1677",2514,116,4
"1678",2562,116,3.85714285714286
"1679",39,117,3.82608695652174
"1680",177,117,3.36
"1681",223,117,3.76595744680851
"1682",669,117,3.5
